trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1322,False,"{'a': 0.002, 'e': 0.0712186896447116}",20,13,17.09810482963966,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1323,False,"{'a': 0.002, 'e': 0.07107639460789066}",20,16,7.168643032150245,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1324,False,"{'a': 0.002, 'e': 0.07093438387674295}",20,15,9.229900354575701,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1325,False,"{'a': 0.002, 'e': 0.0707926568832253}",30,15,25.363769732840787,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1326,False,"{'a': 0.002, 'e': 0.0706512130604296}",30,17,22.97185190194974,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1327,False,"{'a': 0.002, 'e': 0.0705100518425803}",20,0,20.03899200671773,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1328,False,"{'a': 0.002, 'e': 0.07036917266503243}",20,13,13.045339231754134,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1329,False,"{'a': 0.002, 'e': 0.07022857496426901}",25,13,20.876527012537252,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1330,False,"{'a': 0.002, 'e': 0.07008825817789911}",25,11,13.783366390573205,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1331,False,"{'a': 0.002, 'e': 0.06994822174465536}",20,13,15.21718389607782,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1332,False,"{'a': 0.002, 'e': 0.06980846510439187}",20,15,-1.8685480147763704,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
1333,False,"{'a': 0.002, 'e': 0.06966898769808184}",35,23,9.907988119136808,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1334,False,"{'a': 0.002, 'e': 0.06952978896781553}",20,3,-20.4119592000003,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
1335,False,"{'a': 0.002, 'e': 0.06939086835679777}",20,13,12.266998794039143,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1336,False,"{'a': 0.002, 'e': 0.069252225309346}",25,11,11.909043567679362,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1337,False,"{'a': 0.002, 'e': 0.06911385927088774}",25,19,14.087928230326064,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1338,False,"{'a': 0.002, 'e': 0.06897576968795878}",30,20,19.58571131974228,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1339,False,"{'a': 0.002, 'e': 0.06883795600820049}",20,10,16.497819663614187,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
